CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
619,0,42,2,0.0,1,1,1,101348.88,True
502,0,42,8,159660.8,3,1,0,113931.57,True
699,0,39,1,0.0,2,0,0,93826.63,False
822,1,50,7,0.0,2,1,1,10062.8,False
501,1,44,4,142051.07,2,0,1,74940.5,False
684,1,27,2,134603.88,1,1,1,71725.73,False
528,1,31,6,102016.72,2,0,0,80181.12,False
476,0,34,10,0.0,2,1,0,26260.98,False
549,0,25,5,0.0,2,0,0,190857.79,False
726,0,24,6,0.0,2,1,1,54724.03,False
732,1,41,8,0.0,2,1,1,170886.17,False
669,1,46,3,0.0,2,0,1,8487.75,False
846,0,38,5,0.0,1,1,1,187616.16,False
577,1,25,3,0.0,2,0,1,124508.29,False
571,1,44,9,0.0,2,0,0,38433.35,False
411,1,29,0,59697.17,2,1,1,53483.21,False
533,1,36,7,85311.7,1,0,1,156731.91,False
475,0,45,0,134264.04,1,1,0,27822.99,True
850,1,36,7,0.0,1,1,1,40812.9,False
465,0,51,8,122522.32,1,0,0,181297.65,True
556,0,61,2,117419.35,1,1,1,94153.83,False
834,0,49,2,131394.56,1,0,0,194365.76,True
788,0,33,5,0.0,2,0,0,116978.19,False
619,1,43,1,125211.92,1,1,1,113410.49,False
656,1,45,5,127864.4,1,1,0,87107.57,False
614,1,51,4,40685.92,1,1,1,46775.28,False
675,0,21,8,98373.26,1,1,0,18203.0,False
813,1,29,6,0.0,1,1,0,33953.87,False
519,1,36,9,0.0,2,0,1,145562.4,False
735,0,21,1,178718.19,2,1,0,22388.0,False
664,1,55,8,0.0,2,1,1,139161.64,False
678,0,32,9,0.0,1,1,1,148210.64,False
665,0,34,1,96645.54,2,0,0,171413.66,False
777,0,32,2,0.0,1,1,0,136458.19,True
543,0,36,3,0.0,2,0,0,26019.59,False
506,0,34,4,90307.62,1,1,1,159235.29,False
493,0,46,4,0.0,2,1,0,1907.66,False
729,1,30,9,0.0,2,1,0,151869.35,False
646,0,46,4,0.0,3,1,0,93251.42,True
808,1,45,7,118626.55,2,1,0,147132.46,False
524,0,36,10,0.0,2,1,0,109614.57,False
769,1,29,8,0.0,2,1,1,172290.61,False
413,1,34,9,0.0,2,0,0,6534.18,False
665,0,40,6,0.0,1,1,1,161848.03,False
623,0,44,6,0.0,2,0,0,167162.43,False
738,1,31,9,82674.15,1,1,0,41970.72,False
562,1,42,2,100238.35,1,0,0,86797.41,False
506,0,41,1,0.0,2,1,0,31766.3,False
828,1,34,8,129433.34,2,0,0,38131.77,False
656,0,39,6,0.0,2,1,0,141069.88,False
625,0,28,3,0.0,1,0,0,183646.41,False
432,1,42,9,152603.45,1,1,0,110265.24,True
549,0,52,1,0.0,1,0,1,8636.05,True
828,0,41,7,0.0,2,1,0,171378.77,False
770,1,24,9,101827.07,1,1,0,167256.35,False
758,0,34,3,0.0,2,1,1,124226.16,False
687,1,38,9,122570.87,1,1,1,35608.88,False
686,1,25,1,0.0,2,0,1,16459.37,False
637,1,40,2,133463.1,1,0,1,93165.34,False
663,1,34,7,0.0,2,1,1,180427.24,False
682,0,43,5,125851.93,1,1,1,193318.33,False
691,0,31,5,40915.55,1,1,0,126213.84,True
650,1,37,5,106967.18,1,0,0,24495.03,False
735,1,44,9,120681.63,1,1,0,74836.34,False
416,1,32,0,0.0,2,0,1,878.87,False
535,0,48,9,0.0,1,1,0,149892.79,True
539,1,37,2,127609.59,1,1,0,98646.22,False
614,0,43,6,0.0,2,1,1,109041.53,False
758,0,33,7,0.0,2,0,0,82996.47,False
646,0,73,6,97259.25,1,0,1,104719.66,False
684,1,30,2,0.0,2,1,0,83473.82,False
800,0,49,7,108007.36,1,0,0,47125.11,False
484,0,29,4,130114.39,1,1,0,164017.89,False
578,1,30,4,169462.09,1,1,0,112187.11,False
512,1,40,5,0.0,2,1,1,146457.83,False
510,0,30,0,0.0,2,1,1,130553.47,False
510,1,65,2,0.0,2,1,1,48071.61,False
636,1,42,2,0.0,2,1,1,55470.78,False
804,0,50,4,0.0,1,1,1,8546.87,True
514,1,32,8,0.0,2,1,0,95857.18,False
730,0,39,1,99010.67,1,1,0,194945.8,False
715,0,41,8,56214.85,2,0,0,92982.61,True
512,0,36,3,84327.77,2,1,0,17675.36,False
479,1,40,1,0.0,2,0,0,114996.43,False
601,1,32,8,93012.89,1,1,0,86957.42,False
807,1,35,3,174790.15,1,1,1,600.36,False
501,1,57,10,0.0,2,1,1,47847.19,False
521,1,35,6,96423.84,1,1,0,10488.44,False
759,1,42,4,105420.18,1,0,1,121409.06,False
711,0,38,2,129022.06,2,1,1,14374.86,True
550,1,37,3,0.0,1,1,1,179670.31,False
618,1,34,5,134954.53,1,1,1,151954.39,False
643,1,45,5,0.0,1,1,0,142513.5,True
671,1,45,2,106376.85,1,0,1,158264.62,False
603,1,31,8,0.0,2,1,1,169915.02,False
620,0,41,9,0.0,2,0,0,88852.47,False
676,0,34,1,63095.01,1,1,1,40645.81,False
695,1,46,7,49512.55,1,1,0,133007.34,False
807,1,43,1,105799.32,2,1,0,34888.04,True
592,1,54,8,0.0,1,1,1,28737.71,True
726,0,31,9,114722.05,2,1,1,98178.57,False
567,1,42,2,0.0,2,1,1,167984.61,False
850,1,33,10,0.0,1,1,0,4861.72,True
670,1,37,4,170557.91,2,1,0,198252.88,False
694,0,30,9,0.0,2,1,1,26960.31,False
673,1,72,1,0.0,2,0,1,111981.19,False
610,1,40,0,0.0,2,1,0,62232.6,False
512,0,37,1,0.0,2,0,1,156105.03,False
585,0,67,5,113978.97,2,0,1,93146.11,False
712,0,29,2,0.0,1,1,1,144375.0,False
668,0,46,2,0.0,3,1,0,89048.46,True
703,1,28,2,81173.83,2,0,1,162812.16,False
703,1,37,8,105961.68,2,0,1,74158.8,False
635,0,40,10,123497.58,1,1,0,131953.23,True
545,0,26,1,0.0,2,1,1,199638.56,False
681,0,79,0,0.0,2,0,1,170968.99,False
727,1,34,10,0.0,2,1,1,198637.34,False
693,0,30,6,127992.25,1,1,1,50457.2,False
557,0,32,6,184686.41,2,1,0,14956.44,False
682,0,26,0,110654.02,1,0,1,111879.21,False
498,1,34,2,0.0,2,1,1,148528.24,False
651,1,36,7,0.0,2,1,0,13898.31,False
707,1,30,8,0.0,2,1,0,33159.37,False
756,1,62,3,0.0,1,1,1,11199.04,True
777,0,53,10,0.0,2,1,0,189992.97,False
